reporting_area,mmwr_week,west_nile_virus_disease_neuroinvasive_cum_2017,west_nile_virus_disease_neuroinvasive_cum_2018,west_nile_virus_disease_neuroinvasive_current_week,west_nile_virus_disease_neuroinvasive_previous_52_weeks_max,west_nile_virus_disease_neuroinvasive_previous_52_weeks_med,west_nile_virus_disease_nonneuroinvasive_cum_2017,west_nile_virus_disease_nonneuroinvasive_cum_2018,west_nile_virus_disease_nonneuroinvasive_current_week,west_nile_virus_disease_nonneuroinvasive_previous_52_weeks_max,west_nile_virus_disease_nonneuroinvasive_previous_52_weeks_med,zika_virus_disease_non_congenital_cum_2017,zika_virus_disease_non_congenital_cum_2018,zika_virus_disease_non_congenital_previous_52_weeks_max,zika_virus_disease_non_congenital_previous_52_weeks_med,vibriosis_any_species_of_the_family_vibrionaceae_other_than_toxigenic_vibrio_cholerae_o1_or_o139_confirmed_cum_2017,vibriosis_any_species_of_the_family_vibrionaceae_other_than_toxigenic_vibrio_cholerae_o1_or_o139_confirmed_cum_2018,vibriosis_any_species_of_the_family_vibrionaceae_other_than_toxigenic_vibrio_cholerae_o1_or_o139_confirmed_current_week,vibriosis_any_species_of_the_family_vibrionaceae_other_than_toxigenic_vibrio_cholerae_o1_or_o139_confirmed_previous_52_weeks_max,vibriosis_any_species_of_the_family_vibrionaceae_other_than_toxigenic_vibrio_cholerae_o1_or_o139_confirmed_previous_52_weeks_med,vibriosis_any_species_of_the_family_vibrionaceae_other_than_toxigenic_vibrio_cholerae_o1_or_o139_probable_cum_2017,vibriosis_any_species_of_the_family_vibrionaceae_other_than_toxigenic_vibrio_cholerae_o1_or_o139_probable_cum_2018,vibriosis_any_species_of_the_family_vibrionaceae_other_than_toxigenic_vibrio_cholerae_o1_or_o139_probable_current_week,vibriosis_any_species_of_the_family_vibrionaceae_other_than_toxigenic_vibrio_cholerae_o1_or_o139_probable_previous_52_weeks_max,vibriosis_any_species_of_the_family_vibrionaceae_other_than_toxigenic_vibrio_cholerae_o1_or_o139_probable_previous_52_weeks_med,tetanus_cum_2017,tetanus_cum_2018,tetanus_current_week,tetanus_previous_52_weeks_max,tetanus_previous_52_weeks_med,varicella_cum_2017,varicella_cum_2018,varicella_current_week,varicella_previous_52_weeks_max,varicella_previous_52_weeks_med,salmonellosis_excluding_paratyphoid_fever_andtyphoid_fever_cum_2018,salmonellosis_excluding_paratyphoid_fever_andtyphoid_fever_current_week,salmonellosis_excluding_paratyphoid_fever_andtyphoid_fever_previous_52_weeks_max,salmonellosis_excluding_paratyphoid_fever_andtyphoid_fever_previous_52_weeks_med,shiga_toxin_producing_escherichia_coli_cum_2017,shiga_toxin_producing_escherichia_coli_cum_2018,shiga_toxin_producing_escherichia_coli_current_week,shiga_toxin_producing_escherichia_coli_previous_52_weeks_max,shiga_toxin_producing_escherichia_coli_previous_52_weeks_med,shigellosis_cum_2017,shigellosis_cum_2018,shigellosis_current_week,shigellosis_previous_52_weeks_max,shigellosis_previous_52_weeks_med,meningococcal_disease_all_serogroups_cum_2017,meningococcal_disease_all_serogroups_cum_2018,meningococcal_disease_all_serogroups_current_week,meningococcal_disease_all_serogroups_previous_52_weeks_max,meningococcal_disease_all_serogroups_previous_52_weeks_med,mumps_cum_2017,mumps_cum_2018,mumps_current_week,mumps_previous_52_weeks_max,mumps_previous_52_weeks_med,pertussis_cum_2017,pertussis_cum_2018,pertussis_current_week,pertussis_previous_52_weeks_max,pertussis_previous_52_weeks_med,legionellosis_cum_2017,legionellosis_cum_2018,legionellosis_current_week,legionellosis_previous_52_weeks_max,legionellosis_previous_52_weeks_med,malaria_cum_2017,malaria_cum_2018,malaria_current_week,malaria_previous_52_weeks_max,malaria_previous_52_weeks_med,invasive_pneumococcal_disease_all_ages_confirmed_cum_2017,invasive_pneumococcal_disease_all_ages_confirmed_cum_2018,invasive_pneumococcal_disease_all_ages_confirmed_current_week,invasive_pneumococcal_disease_all_ages_confirmed_previous_52_weeks_max,invasive_pneumococcal_disease_all_ages_confirmed_previous_52_weeks_med,invasive_pneumococcal_disease_all_ages_probable_cum_2017,invasive_pneumococcal_disease_all_ages_probable_cum_2018,invasive_pneumococcal_disease_all_ages_probable_current_week,invasive_pneumococcal_disease_all_ages_probable_previous_52_weeks_max,invasive_pneumococcal_disease_all_ages_probable_previous_52_weeks_med,hepatitis_viral_acute_by_type_a_cum_2017,hepatitis_viral_acute_by_type_a_cum_2018,hepatitis_viral_acute_by_type_a_current_week,hepatitis_viral_acute_by_type_a_previous_52_weeks_max,hepatitis_viral_acute_by_type_a_previous_52_weeks_med,hepatitis_viral_acute_by_type_b_cum_2017,hepatitis_viral_acute_by_type_b_cum_2018,hepatitis_viral_acute_by_type_b_current_week,hepatitis_viral_acute_by_type_b_previous_52_weeks_max,hepatitis_viral_acute_by_type_b_previous_52_weeks_med,giardiasis_cum_2017,giardiasis_cum_2018,giardiasis_current_week,giardiasis_previous_52_weeks_max,giardiasis_previous_52_weeks_med,gonorrhea_cum_2017,gonorrhea_cum_2018,gonorrhea_current_week,gonorrhea_previous_52_weeks_max,gonorrhea_previous_52_weeks_med,haemophilus_influenzae_invasive_disease_all_ages_all_serotypes_all_serotypes_cum_2018,haemophilus_influenzae_invasive_disease_all_ages_all_serotypes_cum_2017,haemophilus_influenzae_invasive_disease_all_ages_all_serotypes_current_week,haemophilus_influenzae_invasive_disease_all_ages_all_serotypes_previous_52_weeks_max,haemophilus_influenzae_invasive_disease_all_ages_all_serotypes_previous_52_weeks_med,chlamydia_trachomatis_infection_cum_2017,chlamydia_trachomatis_infection_cum_2018,chlamydia_trachomatis_infection_current_week,chlamydia_trachomatis_infection_previous_52_weeks_max,chlamydia_trachomatis_infection_previous_52_weeks_med,coccidioidomycosis_cum_2017,coccidioidomycosis_cum_2018,coccidioidomycosis_current_week,coccidioidomycosis_previous_52_weeks_max,coccidioidomycosis_previous_52_weeks_med
ILLINOIS,1,0.0,0.0,0.0,12,0,0.0,0.0,0.0,6,0,0.0,0.0,3,0,0.0,0.0,0.0,4,0,0.0,0.0,0.0,4,0,0.0,0.0,0.0,0,0,6,0.0,0.0,13,5,0.0,0.0,0,0,1.0,0.0,0.0,9,3,4.0,0.0,0.0,14,6,0.0,0.0,0.0,2,0,3.0,0.0,0.0,22,3,11,0.0,0.0,42,11,5.0,0.0,0.0,25,3,2.0,0.0,0.0,4,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,3,1,0.0,0.0,0.0,2,0,0.0,0.0,0.0,0,0,412,0.0,0.0,461,292,0.0,5,0.0,11,4,1224,0.0,0.0,1591,1048,0.0,0.0,0.0,0,0
ILLINOIS,2,0.0,0.0,0.0,12,0,0.0,0.0,0.0,6,0,0.0,0.0,3,0,0.0,0.0,0.0,4,0,1.0,0.0,0.0,4,0,0.0,0.0,0.0,0,0,7,0.0,0.0,13,5,0.0,0.0,0,0,4.0,0.0,0.0,11,3,10.0,0.0,0.0,15,6,0.0,0.0,0.0,2,0,5.0,0.0,0.0,22,3,27,0.0,0.0,42,11,6.0,0.0,0.0,25,5,2.0,0.0,0.0,4,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,3.0,0.0,0.0,3,1,1.0,0.0,0.0,2,0,0.0,0.0,0.0,0,0,868,0.0,0.0,464,305,0.0,10,0.0,11,4,2704,0.0,0.0,1596,1071,0.0,0.0,0.0,0,0
ILLINOIS,3,0.0,0.0,0.0,12,0,0.0,0.0,0.0,6,0,0.0,0.0,3,0,0.0,0.0,0.0,4,0,1.0,0.0,0.0,4,0,0.0,0.0,0.0,0,0,13,0.0,0.0,13,5,0.0,0.0,0,0,4.0,0.0,0.0,11,3,12.0,0.0,0.0,15,6,0.0,0.0,0.0,2,0,8.0,0.0,0.0,22,3,42,0.0,0.0,43,11,13.0,0.0,0.0,25,5,3.0,0.0,0.0,4,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,5.0,0.0,0.0,3,1,1.0,0.0,0.0,2,0,0.0,0.0,0.0,0,0,1305,268.0,17.0,466,315,0.0,14,0.0,11,4,4045,814.0,44.0,1598,1069,0.0,0.0,0.0,0,0
ILLINOIS,4,0.0,0.0,0.0,12,0,0.0,0.0,0.0,6,0,0.0,0.0,3,0,0.0,0.0,0.0,4,0,1.0,0.0,0.0,4,0,0.0,0.0,0.0,0,0,9,0.0,0.0,12,2,0.0,0.0,0,0,5.0,0.0,0.0,11,3,19.0,0.0,0.0,15,6,0.0,0.0,0.0,2,0,10.0,0.0,0.0,22,3,60,1.0,0.0,43,11,14.0,0.0,0.0,25,5,6.0,0.0,0.0,4,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,6.0,0.0,0.0,4,1,1.0,0.0,0.0,2,0,0.0,0.0,0.0,0,0,1767,444.0,28.0,467,318,1.0,19,0.0,11,4,5636,1360.0,75.0,1599,1071,0.0,0.0,0.0,0,0
ILLINOIS,5,0.0,0.0,0.0,12,0,0.0,0.0,0.0,6,0,0.0,0.0,3,0,0.0,1.0,0.0,4,0,2.0,0.0,0.0,4,0,0.0,0.0,0.0,0,0,11,8.0,1.0,12,3,0.0,0.0,0,0,9.0,2.0,0.0,11,3,26.0,2.0,0.0,15,6,0.0,0.0,0.0,2,0,15.0,0.0,0.0,22,3,71,1.0,0.0,43,10,20.0,3.0,0.0,27,5,6.0,0.0,0.0,4,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,7.0,3.0,0.0,4,1,2.0,1.0,0.0,2,0,0.0,0.0,0.0,0,0,2217,444.0,0.0,451,318,1.0,28,0.0,11,4,7095,1360.0,0.0,1461,1061,0.0,0.0,0.0,0,0
ILLINOIS,6,0.0,0.0,0.0,12,0,0.0,0.0,0.0,6,0,0.0,0.0,3,0,0.0,1.0,0.0,4,0,2.0,0.0,0.0,4,0,0.0,0.0,0.0,0,0,12,8.0,0.0,12,3,0.0,0.0,0,0,12.0,2.0,0.0,11,3,36.0,2.0,0.0,15,6,0.0,0.0,0.0,2,0,25.0,0.0,0.0,22,3,83,1.0,0.0,43,10,22.0,3.0,0.0,27,4,7.0,0.0,0.0,4,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,9.0,4.0,0.0,5,1,3.0,1.0,0.0,2,0,0.0,0.0,0.0,0,0,2623,680.0,22.0,422,334,1.0,33,0.0,11,4,8571,2189.0,59.0,1425,1108,0.0,0.0,0.0,0,0
ILLINOIS,7,0.0,0.0,0.0,12,0,0.0,0.0,0.0,6,0,0.0,0.0,3,0,1.0,1.0,0.0,4,0,2.0,0.0,0.0,4,0,0.0,0.0,0.0,0,0,16,14.0,2.0,12,3,0.0,0.0,0,0,14.0,4.0,0.0,11,3,44.0,13.0,0.0,15,6,0.0,0.0,0.0,2,0,33.0,0.0,0.0,22,3,90,1.0,0.0,43,10,24.0,9.0,0.0,27,5,8.0,2.0,0.0,4,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,12.0,5.0,0.0,5,1,3.0,1.0,0.0,2,0,0.0,0.0,0.0,0,0,3013,907.0,29.0,464,357,1.0,37,0.0,11,4,9901,2886.0,64.0,1415,1171,0.0,0.0,0.0,0,0
ILLINOIS,8,0.0,0.0,0.0,12,0,0.0,0.0,0.0,6,0,0.0,0.0,3,0,1.0,1.0,0.0,4,0,3.0,0.0,0.0,4,0,0.0,0.0,0.0,0,0,17,15.0,0.0,12,3,0.0,0.0,0,0,16.0,4.0,0.0,11,3,48.0,13.0,0.0,15,6,0.0,0.0,0.0,2,0,51.0,0.0,0.0,22,3,94,1.0,0.0,43,10,27.0,9.0,0.0,27,5,9.0,2.0,0.0,4,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,14.0,5.0,0.0,5,1,4.0,2.0,0.0,2,0,0.0,0.0,0.0,0,0,3404,1097.0,17.0,480,389,1.0,40,0.0,11,4,11204,3686.0,62.0,1504,1289,0.0,0.0,0.0,0,0
ILLINOIS,9,0.0,0.0,0.0,12,0,0.0,0.0,0.0,6,0,0.0,0.0,3,0,1.0,1.0,0.0,4,0,3.0,0.0,0.0,4,0,0.0,0.0,0.0,0,0,19,15.0,0.0,12,3,0.0,0.0,0,0,16.0,4.0,0.0,11,3,52.0,13.0,0.0,15,6,0.0,0.0,0.0,2,0,57.0,0.0,0.0,22,2,107,1.0,0.0,43,10,29.0,9.0,0.0,27,5,9.0,2.0,0.0,4,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,16.0,6.0,0.0,5,1,5.0,2.0,0.0,2,0,0.0,0.0,0.0,0,0,3827,1353.0,23.0,541,416,1.0,43,0.0,11,4,12589,4686.0,84.0,1622,1365,0.0,0.0,0.0,0,0
ILLINOIS,10,0.0,0.0,0.0,12,0,0.0,0.0,0.0,6,0,0.0,0.0,3,0,1.0,1.0,0.0,4,0,3.0,0.0,0.0,3,0,0.0,0.0,0.0,0,0,23,15.0,0.0,12,3,0.0,0.0,0,0,17.0,9.0,0.0,11,4,55.0,17.0,0.0,15,6,0.0,0.0,0.0,2,0,71.0,0.0,0.0,22,2,124,1.0,0.0,43,10,32.0,16.0,0.0,27,5,9.0,2.0,0.0,4,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,16.0,7.0,0.0,5,1,7.0,2.0,0.0,2,0,0.0,0.0,0.0,0,0,4216,1616.0,14.0,542,425,1.0,51,0.0,11,4,13991,5654.0,66.0,1624,1378,0.0,0.0,0.0,0,0
